year,value,name
1913,0.8830150753768845,Income Inequality
1914,0.9003015075376885,Income Inequality
1915,0.8779731993299833,Income Inequality
1916,0.9165075376884422,Income Inequality
1917,0.9147068676716918,Income Inequality
1918,0.8560050251256281,Income Inequality
1919,0.9265912897822446,Income Inequality
1920,0.8232328308207706,Income Inequality
1921,0.8369179229480738,Income Inequality
1922,0.816390284757119,Income Inequality
1923,0.7846984924623115,Income Inequality
1924,0.812428810720268,Income Inequality
1925,0.8920184254606366,Income Inequality
1926,0.9373953098827471,Income Inequality
1927,0.9129061976549414,Income Inequality
1928,0.95,Income Inequality
1929,0.9460385259631491,Income Inequality
1930,0.8336767169179229,Income Inequality
1931,0.7508458961474037,Income Inequality
1932,0.7418425460636516,Income Inequality
1933,0.77785594639866,Income Inequality
1934,0.8336767169179229,Income Inequality
1935,0.8434003350083752,Income Inequality
1936,0.9013819095477387,Income Inequality
1937,0.8916582914572864,Income Inequality
1938,0.8185510887772194,Income Inequality
1939,0.8520435510887773,Income Inequality
1940,0.884815745393635,Income Inequality
1941,0.9244304857621439,Income Inequality
1942,0.8887772194304857,Income Inequality
1943,0.816750418760469,Income Inequality
1944,0.7000670016750419,Income Inequality
1945,0.6604522613065327,Income Inequality
1946,0.661532663316583,Income Inequality
1947,0.6863819095477387,Income Inequality
1948,0.7346398659966499,Income Inequality
1949,0.7133919597989951,Income Inequality
1950,0.7375209380234506,Income Inequality
1951,0.7234757118927974,Income Inequality
1952,0.6863819095477387,Income Inequality
1953,0.6518090452261307,Income Inequality
1954,0.6496482412060303,Income Inequality
1955,0.6734170854271357,Income Inequality
1956,0.6456867671691793,Income Inequality
1957,0.6345226130653266,Income Inequality
1958,0.6039112227805695,Income Inequality
1959,0.622998324958124,Income Inequality
1960,0.5949078726968174,Income Inequality
1961,0.5985092127303183,Income Inequality
1962,0.6096733668341708,Income Inequality
1963,0.614715242881072,Income Inequality
1964,0.6193969849246231,Income Inequality
1965,0.6165159128978225,Income Inequality
1966,0.614355108877722,Income Inequality
1967,0.592747068676717,Income Inequality
1968,0.6013902847571189,Income Inequality
1969,0.5650167504187605,Income Inequality
1970,0.532604690117253,Income Inequality
1971,0.5452093802345059,Income Inequality
1972,0.5462897822445562,Income Inequality
1973,0.5390871021775544,Income Inequality
1974,0.5207202680067002,Income Inequality
1975,0.5228810720268007,Income Inequality
1976,0.5203601340033501,Income Inequality
1977,0.528283082077052,Income Inequality
1978,0.52,Income Inequality
1979,0.5383668341708543,Income Inequality
1980,0.5225209380234507,Income Inequality
1981,0.5315242881072028,Income Inequality
1982,0.5430485762144054,Income Inequality
1983,0.5614154103852597,Income Inequality
1984,0.5848241206030151,Income Inequality
1985,0.5891457286432161,Income Inequality
1986,0.5787018425460637,Income Inequality
1987,0.6240787269681742,Income Inequality
1988,0.6950251256281408,Income Inequality
1989,0.6762981574539364,Income Inequality
1990,0.6770184254606366,Income Inequality
1991,0.6388442211055277,Income Inequality
1992,0.6759380234505863,Income Inequality
1993,0.6568509212730318,Income Inequality
1994,0.6521691792294808,Income Inequality
1995,0.670175879396985,Income Inequality
1996,0.696465661641541,Income Inequality
1997,0.7234757118927974,Income Inequality
1998,0.7350000000000001,Income Inequality
1999,0.7508458961474037,Income Inequality
2000,0.7717336683417085,Income Inequality
2001,0.7447236180904523,Income Inequality
2002,0.7270770519262982,Income Inequality
2003,0.7350000000000001,Income Inequality
2004,0.7616499162479062,Income Inequality
2005,0.7976633165829146,Income Inequality
2006,0.8142294807370185,Income Inequality
2007,0.8091876046901172,Income Inequality
2008,0.7929815745393635,Income Inequality
2009,0.7486850921273033,Income Inequality
2010,0.7915410385259631,Income Inequality
2011,0.7983835845896148,Income Inequality
2012,0.8491624790619765,Income Inequality
2013,0.8120686767169178,Income Inequality
2014,0.8304355108877722,Income Inequality
2015,0.8275544388609717,Income Inequality
2016,0.8192713567839196,Income Inequality
2017,0.8333165829145729,Income Inequality
2018,0.8401591289782244,Income Inequality
2019,0.8329564489112229,Income Inequality
2020,0.8016247906197655,Income Inequality
2021,0.8632077051926299,Income Inequality
2022,0.893819095477387,Income Inequality
2023,0.893819095477387,Income Inequality
2024,0.893819095477387,Income Inequality
