year,value,name
1913,0.7072048662241814,Party Gap
1915,0.7204017615706884,Party Gap
1917,0.7122416976549855,Party Gap
1919,0.7159032527029503,Party Gap
1921,0.7047129594591022,Party Gap
1923,0.6903645562208893,Party Gap
1925,0.673608088449112,Party Gap
1927,0.6677833676869862,Party Gap
1929,0.6580140437844398,Party Gap
1931,0.6120047900697434,Party Gap
1933,0.5745989009752012,Party Gap
1935,0.5502938107078551,Party Gap
1937,0.55549335755243745,Party Gap
1939,0.5417980453678102,Party Gap
1941,0.5520603089540604,Party Gap
1943,0.5384399194096877,Party Gap
1945,0.5542084421621991,Party Gap
1947,0.5154999452873753,Party Gap
1949,0.5438554164336525,Party Gap
1951,0.5300125965054856,Party Gap
1953,0.5212048821626772,Party Gap
1955,0.5478211696529874,Party Gap
1957,0.541806610213297,Party Gap
1959,0.556065957004512,Party Gap
1961,0.540998448397397,Party Gap
1963,0.5520877554311132,Party Gap
1965,0.5522449751219584,Party Gap
1967,0.5410436129654353,Party Gap
1969,0.5598119599986279,Party Gap
1971,0.5565415260387223,Party Gap
1973,0.5855827040253205,Party Gap
1975,0.5831270126058212,Party Gap
1977,0.5759847454211168,Party Gap
1979,0.5948821680927204,Party Gap
1981,0.6074909429036036,Party Gap
1983,0.6239303965958745,Party Gap
1985,0.6388837919508106,Party Gap
1987,0.6378369026025464,Party Gap
1989,0.6458583322837157,Party Gap
1991,0.6514087702104935,Party Gap
1993,0.6915376779115752,Party Gap
1995,0.7382313287654845,Party Gap
1997,0.7597378642586279,Party Gap
1999,0.7547132587860905,Party Gap
2001,0.7633997002726047,Party Gap
2003,0.76613969842234,Party Gap
2005,0.7866905534049697,Party Gap
2007,0.7851121554104441,Party Gap
2009,0.7864607120722883,Party Gap
2011,0.8387985584313077,Party Gap
2013,0.8530247339402837,Party Gap
2015,0.8623705462884658,Party Gap
2017,0.8673177017841971,Party Gap
2019,0.8665576401984925,Party Gap
2021,0.8812161609038234,Party Gap
2023,0.8930709333888276,Party Gap
2025,0.913485104236531,Party Gap
