date,session,number,bill,question,result,description,yeatotal,naytotal,rollcall,passed,votestotal,yea_pct,close,lopsided,.rollcall_id,pct_yea_D,pct_yea_R,partyline
2005-01-06,1,1,n/a,On the Objection,Not Sustained,Shall Objection Submitted Be Sustained Re: Electoral Ballot Count,1,74,1-1,FALSE,75,0.013333333333333334,TRUE,TRUE,1,0.027777777777777776,0,NA
2005-01-26,1,2,PN8,On the Nomination,Confirmed,"Confirmation Condoleeza Rice, of California, to be Secretary of State",85,13,1-2,TRUE,98,0.8673469387755102,TRUE,FALSE,2,0.7272727272727273,1,NA
2005-02-03,1,3,PN12,On the Nomination,Confirmed,Confirmation Alberto R. Gonzales to be Attorney General,60,36,1-3,TRUE,96,0.625,FALSE,FALSE,3,0.14634146341463414,1,NA
2005-02-09,1,5,S. 5,On the Motion to Table S.Amdt. 5,Agreed to,Motion to Table Pryor Amdt. No. 5; To exempt class action lawsuits brought by the attorney general of any State from the modified civil procedures required by this Act.,60,39,1-5,FALSE,99,0.6060606060606061,FALSE,FALSE,4,0.13636363636363635,1,NA
2005-02-09,1,6,S. 5,On the Amendment S.Amdt. 2,Rejected,"Kennedy Amdt. No. 2; To amend the definition of class action in title 28, United States Code, to exclude class actions relating to civil rights or the payment of wages.",40,59,1-6,FALSE,99,0.40404040404040403,FALSE,FALSE,5,0.8863636363636364,0,NA
2005-02-09,1,7,S. 5,On the Amendment S.Amdt. 4,Rejected,"Feinstein Amdt. No. 4; To clarify the application of State law in certain class actions, and for other purposes.",38,61,1-7,FALSE,99,0.3838383838383838,FALSE,FALSE,6,0.8409090909090909,0.018518518518518517,NA
2005-02-10,1,8,S. 5,On the Amendment S.Amdt. 12,Rejected,Feingold Amdt. No. 12; To establish time limits for action by Federal district courts on motions to remand cases that have been removed to Federal court.,37,61,1-8,FALSE,98,0.37755102040816324,FALSE,FALSE,7,0.8181818181818182,0,NA
2005-02-10,1,9,S. 5,On Passage of the Bill,Passed,S. 5; Class Action Fairness Act of 2005,72,26,1-9,TRUE,98,0.7346938775510204,TRUE,FALSE,8,0.4090909090909091,1,NA
2005-03-01,1,12,S. 256,On the Amendment S.Amdt. 23,Agreed to,Sessions Amdt. No. 23; To clarify the safe harbor with respect to debtors who have serious medical conditions or who have been called or ordered to active duty in the Armed Forces and low income veterans.,63,32,1-12,FALSE,95,0.6631578947368421,TRUE,FALSE,9,0.2619047619047619,1,NA
2005-03-01,1,13,S. 256,On the Amendment S.Amdt. 16,Rejected,"Durbin Amdt. No. 16, As Modified.; To protect servicemembers and veterans from means testing in bankruptcy, to disallow certain claims by lenders charging usurious interest rates to servicemembers, and to allow servicemembers to exempt property based on the law of the State of their premilitary residence.",38,58,1-13,FALSE,96,0.3958333333333333,FALSE,FALSE,10,0.8571428571428571,0.018867924528301886,NA
2005-03-02,1,14,S. 256,On the Amendment S.Amdt. 17,Rejected,Feingold Amdt. No. 17.; To provide a homestead floor for the elderly.,40,59,1-14,FALSE,99,0.40404040404040403,FALSE,FALSE,11,0.9302325581395349,0,Democratic
2005-03-02,1,15,S. 256,On the Amendment S.Amdt. 15,Rejected,"Akaka Amdt. No. 15; To require enhanced disclosure to consumers regarding the consequences of making only minimum required payments in the repayment of credit card debt, and for other purposes.",40,59,1-15,FALSE,99,0.40404040404040403,FALSE,FALSE,12,0.8837209302325582,0.01818181818181818,NA
2005-03-02,1,16,S. 256,On the Amendment S.Amdt. 28,Rejected,Kennedy Amdt. No. 28.; To exempt debtors whose financial problems were caused by serious medical problems from means testing.,39,58,1-16,FALSE,97,0.4020618556701031,FALSE,FALSE,13,0.9047619047619048,0,Democratic
2005-03-02,1,17,S. 256,On the Amendment S.Amdt. 29,Rejected,Kennedy Amdt. No. 29; To provide protection for medical debt homeowners.,39,58,1-17,FALSE,97,0.4020618556701031,FALSE,FALSE,14,0.9047619047619048,0,Democratic
2005-03-02,1,18,S. 256,On the Amendment S.Amdt. 32,Rejected,Corzine Amdt. No. 32; To preserve existing bankruptcy protections for individuals experiencing economic distress as caregivers to ill or disabled family members.,37,60,1-18,FALSE,97,0.38144329896907214,FALSE,FALSE,15,0.8809523809523809,0,NA
2005-03-03,1,19,S.J.Res. 4,On the Joint Resolution,Agreed to,"S.J.Res. 4; A joint resolution providing for congressional disapproval of the rule submitted by the Department of Agriculture under chapter 8 of title 5, United States Code, relating to risk zones for introduction of bovine spongiform encephalopathy.",52,46,1-19,FALSE,98,0.5306122448979592,FALSE,FALSE,16,0.9047619047619048,0.23214285714285715,NA
2005-03-03,1,20,S. 256,On the Amendment S.Amdt. 31,Rejected,Dayton Amdt. No. 31.; To limit the amount of interest that can be charged on any extension of credit to 30 percent.,24,74,1-20,FALSE,98,0.24489795918367346,TRUE,FALSE,17,0.5476190476190477,0,NA
2005-03-03,1,21,S. 256,On the Amendment S.Amdt. 37,Rejected,Nelson (FL) Amdt. No. 37; To exempt debtors from means testing if their financial problems were caused by identity theft.,37,61,1-21,FALSE,98,0.37755102040816324,FALSE,FALSE,18,0.8571428571428571,0,NA
2005-03-03,1,22,S. 256,On the Amendment S.Amdt. 38,Rejected,Durbin Amdt. No. 38; To discourage predatory lending practices.,40,58,1-22,FALSE,98,0.40816326530612246,FALSE,FALSE,19,0.9047619047619048,0.01818181818181818,Democratic
2005-03-03,1,23,S. 256,On the Amendment S.Amdt. 42,Rejected,Schumer Amdt. No. 42; To limit the exemption for asset protection trusts.,39,56,1-23,FALSE,95,0.4105263157894737,FALSE,FALSE,20,0.925,0.018518518518518517,Democratic
2005-03-03,1,24,S. 256,On the Amendment S.Amdt. 24,Rejected,Rockefeller Amdt. No. 24; To amend the wage priority provision and to amend the payment of insurance benefits to retirees.,40,54,1-24,FALSE,94,0.425531914893617,FALSE,FALSE,21,0.925,0.03773584905660377,Democratic
2005-03-03,1,25,S. 256,On the Amendment S.Amdt. 49,Rejected,Durbin Amdt. No. 49; To protect employees and retirees from corporate practices that deprive them of their earnings and retirement savings when a business files for bankruptcy.,40,54,1-25,FALSE,94,0.425531914893617,FALSE,FALSE,22,0.975,0,Democratic
2005-03-07,1,26,S. 256,On the Amendment S.Amdt. 44,Rejected,Kennedy Amdt. No. 44; To amend the Fair Labor Standards Act of 1938 to provide for an increase in the Federal minimum wage.,46,49,1-26,FALSE,95,0.4842105263157895,FALSE,FALSE,23,1,0.07547169811320754,Democratic
2005-03-07,1,27,S. 256,On the Amendment S.Amdt. 128,Rejected,"Santorum Amdt. No. 128; To promote job creation, family time, and small business preservation in the adjustment of the Federal minimum wage.",38,61,1-27,FALSE,99,0.3838383838383838,FALSE,FALSE,24,0,0.6909090909090909,NA
2005-03-08,1,28,S. 256,On the Amendment S.Amdt. 47,Rejected,"Schumer Amdt. No. 47.; To prohibit the discharge, in bankruptcy, of a debt resulting from the debtor's unlawful interference with the provision of lawful goods or services or damage to property used to provide lawful goods or services.",46,53,1-28,FALSE,99,0.46464646464646464,FALSE,FALSE,25,0.9534883720930233,0.07272727272727272,Democratic
2005-03-08,1,29,S. 256,On the Cloture Motion,Agreed to,Motion To Invoke Cloture On Bill S. 256; Bankruptcy Abuse Prevention and Consumer Protection Act of 2005,69,31,1-29,FALSE,100,0.69,TRUE,FALSE,26,0.3181818181818182,1,NA
2005-03-08,1,30,S. 256,On the Amendment S.Amdt. 89,Rejected,Feingold Amdt No. 89 ; To strike certain small business related bankruptcy provisions in the bill.,41,59,1-30,FALSE,100,0.41,FALSE,FALSE,27,0.9090909090909091,0,Democratic
2005-03-09,1,31,S. 256,On the Amendment S.Amdt. 110,Rejected,Durbin Amdt. No. 110; To clarify that the means test does not apply to debtors below median income.,42,58,1-31,FALSE,100,0.42,FALSE,FALSE,28,0.9318181818181818,0,Democratic
2005-03-09,1,32,S. 256,On the Amendment S.Amdt. 66,Rejected,Harkin Amdt. No. 66; To increase the accrual period for the employee wage priority in bankruptcy.,48,52,1-32,FALSE,100,0.48,FALSE,FALSE,29,1,0.05454545454545454,Democratic
2005-03-09,1,33,S. 256,On the Amendment S.Amdt. 62,Rejected,Boxer Amdt. No. 62; To provide for the potential disallowance of certain claims.,40,60,1-33,FALSE,100,0.4,FALSE,FALSE,30,0.8636363636363636,0.01818181818181818,NA
2005-03-09,1,34,S. 256,On the Amendment S.Amdt. 67,Rejected,"Dodd Amdt. No. 67; To modify the bill to protect families, and for other purposes.",42,58,1-34,FALSE,100,0.42,FALSE,FALSE,31,0.9318181818181818,0,Democratic
2005-03-09,1,35,S. 256,On the Amendment S.Amdt. 68,Rejected,Kennedy Amdt. No. 68; To provide a maximum amount for a homestead exemption under State law.,47,53,1-35,FALSE,100,0.47,FALSE,FALSE,32,0.9318181818181818,0.09090909090909091,Democratic
2005-03-10,1,36,S. 256,On the Amendment S.Amdt. 70,Rejected,"Kennedy Amdt. No. 70; To exempt debtors whose financial problems were caused by failure to receive alimony or child support, or both, from means testing.",41,58,1-36,FALSE,99,0.41414141414141414,FALSE,FALSE,33,0.9069767441860465,0.01818181818181818,Democratic
2005-03-10,1,37,S. 256,On the Amendment S.Amdt. 69,Rejected,Kennedy Amdt. No. 69; To amend the definition of current monthly income.,41,58,1-37,FALSE,99,0.41414141414141414,FALSE,FALSE,34,0.9302325581395349,0,Democratic
2005-03-10,1,38,S. 256,On the Amendment S.Amdt. 105,Rejected,Akaka Amdt. No. 105; To limit claims in bankruptcy by certain unsecured creditors.,38,61,1-38,FALSE,99,0.3838383838383838,FALSE,FALSE,35,0.8604651162790697,0,NA
2005-03-10,1,39,S. 256,On the Amendment S.Amdt. 83,Rejected,Leahy Amdt. No. 83; To modify the definition of disinterested person in the Bankruptcy Code.,44,55,1-39,FALSE,99,0.4444444444444444,FALSE,FALSE,36,0.8837209302325582,0.09090909090909091,NA
2005-03-10,1,41,S. 256,On the Amendment S.Amdt. 129,Rejected,Schumer Amdt. No. 129; To limit the exemption for asset protection trusts.,43,56,1-41,FALSE,99,0.43434343434343436,FALSE,FALSE,37,0.9534883720930233,0.01818181818181818,Democratic
2005-03-10,1,42,S. 256,On the Amendment S.Amdt. 121,Agreed to,Talent Amdt. No. 121; To deter corporate fraud and prevent the abuse of State self-settled trust law.,73,26,1-42,FALSE,99,0.7373737373737373,TRUE,FALSE,38,0.4186046511627907,1,NA
2005-03-10,1,44,S. 256,On Passage of the Bill,Passed,S. 256 As Amended; Bankruptcy Abuse Prevention and Consumer Protection Act of 2005,74,25,1-44,TRUE,99,0.7474747474747475,TRUE,FALSE,39,0.4186046511627907,1,NA
2005-03-14,1,45,S.Con.Res. 18,On the Amendment S.Amdt. 143,Rejected,Bingaman Amdt. No. 143; To restore funding for education programs that are cut and reduce debt by closing corporate tax loopholes.,44,49,1-45,FALSE,93,0.4731182795698925,FALSE,FALSE,40,1,0.057692307692307696,Democratic
2005-03-15,1,47,S.Con.Res. 18,On the Amendment S.Amdt. 144,Rejected,Conrad Amdt. No. 144; To ensure that 75-year solvency has been restored to Social Security before Congress considers new deficit-financed legislation that would increase mandatory spending or cut taxes.,45,55,1-47,FALSE,100,0.45,FALSE,FALSE,41,1,0,Democratic
2005-03-15,1,48,S.Con.Res. 18,On the Amendment S.Amdt. 150,Agreed to,"DeMint Amdt. No. 150; To express the sense of the Senate that failing to address the financial condition of Social Security will result in massive debt, deep benefit cuts and tax increases.",56,43,1-48,FALSE,99,0.5656565656565656,FALSE,FALSE,42,0.06976744186046512,0.9636363636363636,Republican
2005-03-15,1,49,S.Con.Res. 18,On the Amendment S.Amdt. 145,Rejected,Nelson (FL) Amdt. No. 145; To express the sense of the Senate that Congress should reject any Social Security plan that requires deep benefit cuts or a massive increase in debt.,50,50,1-49,FALSE,100,0.5,FALSE,FALSE,43,1,0.09090909090909091,Democratic
2005-03-15,1,50,S.Con.Res. 18,On the Amendment S.Amdt. 147,Rejected,"Stabenow Amdt. No. 147; To protect the American people from terrorist attacks by providing the necessary resources to our firefighters, police, EMS workers and other first-responders by restoring $1,626 billion in cuts to first-responder programs.",46,54,1-50,FALSE,100,0.46,FALSE,FALSE,44,1,0.01818181818181818,Democratic
2005-03-16,1,51,S.Con.Res. 18,On the Amendment S.Amdt. 158,Rejected,Byrd Amdt. No. 158; To provide adequate funding of $1.4 billion in fiscal year 2006 to preserve a national intercity passenger rail system.,46,52,1-51,FALSE,98,0.46938775510204084,FALSE,FALSE,45,0.9761904761904762,0.07272727272727272,Democratic
2005-03-16,1,52,S.Con.Res. 18,On the Amendment S.Amdt. 168,Rejected,Cantwell Amdt. No. 168; To strike section 201(a)(4) relative to the Arctic National Wildlife Refuge.,49,51,1-52,FALSE,100,0.49,FALSE,FALSE,46,0.9318181818181818,0.125,NA
