legislator,rollcall,vote,yea,.rollcall_id,party,.legis_id
SESSIONS (R AL),1-1,6,FALSE,1,Republican,2
STEVENS (R AK),1-1,6,FALSE,1,Republican,5
PRYOR (D AR),1-1,6,FALSE,1,Democratic,8
LINCOLN (D AR),1-1,6,FALSE,1,Democratic,9
BOXER (D CA),1-1,1,TRUE,1,Democratic,10
ALLARD (R CO),1-1,6,FALSE,1,Republican,12
SALAZAR (D CO),1-1,6,FALSE,1,Democratic,13
DODD (D CT),1-1,6,FALSE,1,Democratic,14
LIEBERMAN (D CT),1-1,6,FALSE,1,Democratic,15
BIDEN (D DE),1-1,6,FALSE,1,Democratic,16
CARPER (D DE),1-1,6,FALSE,1,Democratic,17
NELSON (D FL),1-1,6,FALSE,1,Democratic,19
CHAMBLISS (R GA),1-1,6,FALSE,1,Republican,20
ISAKSON (R GA),1-1,6,FALSE,1,Republican,21
INOUYE (D HI),1-1,6,FALSE,1,Democratic,23
CRAPO (R ID),1-1,6,FALSE,1,Republican,25
DURBIN (D IL),1-1,6,FALSE,1,Democratic,26
OBAMA (D IL),1-1,6,FALSE,1,Democratic,27
GRASSLEY (R IA),1-1,6,FALSE,1,Republican,30
HARKIN (D IA),1-1,6,FALSE,1,Democratic,31
BROWNBACK (R KS),1-1,6,FALSE,1,Republican,32
ROBERTS (R KS),1-1,6,FALSE,1,Republican,33
MCCONNELL (R KY),1-1,6,FALSE,1,Republican,35
COLLINS (R ME),1-1,6,FALSE,1,Republican,38
SNOWE (R ME),1-1,6,FALSE,1,Republican,39
MIKULSKI (D MD),1-1,6,FALSE,1,Democratic,40
SARBANES (D MD),1-1,6,FALSE,1,Democratic,41
KENNEDY (D MA),1-1,6,FALSE,1,Democratic,42
STABENOW (D MI),1-1,6,FALSE,1,Democratic,44
LEVIN (D MI),1-1,6,FALSE,1,Democratic,45
DAYTON (D MN),1-1,6,FALSE,1,Democratic,46
COLEMAN (R MN),1-1,6,FALSE,1,Republican,47
COCHRAN (R MS),1-1,6,FALSE,1,Republican,48
LOTT (R MS),1-1,6,FALSE,1,Republican,49
TALENT (R MO),1-1,6,FALSE,1,Republican,50
BOND (R MO),1-1,6,FALSE,1,Republican,51
BAUCUS (D MT),1-1,6,FALSE,1,Democratic,52
HAGEL (R NE),1-1,6,FALSE,1,Republican,54
NELSON (D NE),1-1,6,FALSE,1,Democratic,55
REID (D NV),1-1,6,FALSE,1,Democratic,57
GREGG (R NH),1-1,6,FALSE,1,Republican,58
SUNUNU (R NH),1-1,6,FALSE,1,Republican,59
LAUTENBERG (D NJ),1-1,6,FALSE,1,Democratic,62
DOMENICI (R NM),1-1,6,FALSE,1,Republican,64
CLINTON (D NY),1-1,6,FALSE,1,Democratic,65
SCHUMER (D NY),1-1,6,FALSE,1,Democratic,66
BURR (R NC),1-1,6,FALSE,1,Republican,67
DOLE (R NC),1-1,6,FALSE,1,Republican,68
CONRAD (D ND),1-1,6,FALSE,1,Democratic,69
DORGAN (D ND),1-1,6,FALSE,1,Democratic,70
DEWINE (R OH),1-1,6,FALSE,1,Republican,71
VOINOVICH (R OH),1-1,6,FALSE,1,Republican,72
COBURN (R OK),1-1,6,FALSE,1,Republican,74
SMITH (R OR),1-1,6,FALSE,1,Republican,75
WYDEN (D OR),1-1,6,FALSE,1,Democratic,76
SANTORUM (R PA),1-1,6,FALSE,1,Republican,77
SPECTER (R PA),1-1,6,FALSE,1,Republican,78
REED (D RI),1-1,6,FALSE,1,Democratic,80
DEMINT (R SC),1-1,6,FALSE,1,Republican,81
GRAHAM (R SC),1-1,6,FALSE,1,Republican,82
THUNE (R SD),1-1,6,FALSE,1,Republican,83
JOHNSON (D SD),1-1,6,FALSE,1,Democratic,84
ALEXANDER (R TN),1-1,6,FALSE,1,Republican,86
CORNYN (R TX),1-1,6,FALSE,1,Republican,87
BENNETT (R UT),1-1,6,FALSE,1,Republican,89
HATCH (R UT),1-1,6,FALSE,1,Republican,90
JEFFORDS (Indep VT),1-1,6,FALSE,1,Independent,91
LEAHY (D VT),1-1,6,FALSE,1,Democratic,92
WARNER (R VA),1-1,6,FALSE,1,Republican,94
CANTWELL (D WA),1-1,6,FALSE,1,Democratic,95
BYRD (D WV),1-1,6,FALSE,1,Democratic,97
ROCKEFELLER (D WV),1-1,6,FALSE,1,Democratic,98
FEINGOLD (D WI),1-1,6,FALSE,1,Democratic,99
KOHL (D WI),1-1,6,FALSE,1,Democratic,100
ENZI (R WY),1-1,6,FALSE,1,Republican,101
BUSH (R USA),1-2,1,TRUE,2,Republican,1
SESSIONS (R AL),1-2,1,TRUE,2,Republican,2
SHELBY (R AL),1-2,1,TRUE,2,Republican,3
MURKOWSKI (R AK),1-2,1,TRUE,2,Republican,4
STEVENS (R AK),1-2,1,TRUE,2,Republican,5
KYL (R AZ),1-2,1,TRUE,2,Republican,6
MCCAIN (R AZ),1-2,1,TRUE,2,Republican,7
PRYOR (D AR),1-2,1,TRUE,2,Democratic,8
LINCOLN (D AR),1-2,1,TRUE,2,Democratic,9
BOXER (D CA),1-2,6,FALSE,2,Democratic,10
FEINSTEIN (D CA),1-2,1,TRUE,2,Democratic,11
ALLARD (R CO),1-2,1,TRUE,2,Republican,12
SALAZAR (D CO),1-2,1,TRUE,2,Democratic,13
DODD (D CT),1-2,1,TRUE,2,Democratic,14
LIEBERMAN (D CT),1-2,1,TRUE,2,Democratic,15
BIDEN (D DE),1-2,1,TRUE,2,Democratic,16
CARPER (D DE),1-2,1,TRUE,2,Democratic,17
MARTINEZ (R FL),1-2,1,TRUE,2,Republican,18
NELSON (D FL),1-2,1,TRUE,2,Democratic,19
CHAMBLISS (R GA),1-2,1,TRUE,2,Republican,20
ISAKSON (R GA),1-2,1,TRUE,2,Republican,21
AKAKA (D HI),1-2,6,FALSE,2,Democratic,22
INOUYE (D HI),1-2,1,TRUE,2,Democratic,23
CRAIG (R ID),1-2,1,TRUE,2,Republican,24
CRAPO (R ID),1-2,1,TRUE,2,Republican,25
DURBIN (D IL),1-2,6,FALSE,2,Democratic,26
OBAMA (D IL),1-2,1,TRUE,2,Democratic,27
BAYH (D IN),1-2,6,FALSE,2,Democratic,28
LUGAR (R IN),1-2,1,TRUE,2,Republican,29
GRASSLEY (R IA),1-2,1,TRUE,2,Republican,30
HARKIN (D IA),1-2,6,FALSE,2,Democratic,31
BROWNBACK (R KS),1-2,1,TRUE,2,Republican,32
ROBERTS (R KS),1-2,1,TRUE,2,Republican,33
BUNNING (R KY),1-2,1,TRUE,2,Republican,34
MCCONNELL (R KY),1-2,1,TRUE,2,Republican,35
VITTER (R LA),1-2,1,TRUE,2,Republican,36
LANDRIEU (D LA),1-2,1,TRUE,2,Democratic,37
COLLINS (R ME),1-2,1,TRUE,2,Republican,38
SNOWE (R ME),1-2,1,TRUE,2,Republican,39
MIKULSKI (D MD),1-2,1,TRUE,2,Democratic,40
SARBANES (D MD),1-2,1,TRUE,2,Democratic,41
KENNEDY (D MA),1-2,6,FALSE,2,Democratic,42
KERRY (D MA),1-2,6,FALSE,2,Democratic,43
STABENOW (D MI),1-2,1,TRUE,2,Democratic,44
LEVIN (D MI),1-2,6,FALSE,2,Democratic,45
DAYTON (D MN),1-2,6,FALSE,2,Democratic,46
COLEMAN (R MN),1-2,1,TRUE,2,Republican,47
COCHRAN (R MS),1-2,1,TRUE,2,Republican,48
LOTT (R MS),1-2,1,TRUE,2,Republican,49
TALENT (R MO),1-2,1,TRUE,2,Republican,50
BOND (R MO),1-2,1,TRUE,2,Republican,51
BAUCUS (D MT),1-2,1,TRUE,2,Democratic,52
HAGEL (R NE),1-2,1,TRUE,2,Republican,54
NELSON (D NE),1-2,1,TRUE,2,Democratic,55
ENSIGN (R NV),1-2,1,TRUE,2,Republican,56
